"energy","danceability","tempo","valence","views","likes","stream"
"0.691","0.697","137.853","0.305","449712619","3621125","615784555"
"0.678","0.665","131.986","0.682","15391210","182210","67878913"
"0.632","0.721","92.057","0.296","35856519","335937","212221697"
"0.617","0.742","147.002","0.491","19671018","273280","62736773"
"0.749","0.594","179.968","0.694","2133459242","9883068","865695837"
"0.69","0.628","179.908","0.66","1381668642","4089045","765561212"
"0.713","0.635","179.864","0.749","736730327","2634233","418186764"
"0.849","0.627","89.907","0.818","592005","6740","185931694"
"0.648","0.681","172.02","0.688","321420163","1811446","350576786"
"0.912","0.855","104.072","0.885","115543124","748538","136025763"
"0.803","0.76","136.945","0.922","61711565","435031","37382738"
"0.608","0.832","94.013","0.589","1546036758","4733493","479847676"
"0.785","0.591","106.002","0.785","24706293","557112","89466323"
"0.788","0.827","109.933","0.815","162725","2340","126333112"
"0.54","0.557","129.171","0.394","114971785","1126554","942898131"
"0.403","0.443","143.462","0.41","131925109","1075941","526788025"
"0.376","0.533","165.007","0.187","31607772","383619","574936342"
"0.179","0.332","96.529","0.315","42856675","475089","475131674"
"0.849","0.482","124.631","0.937","53228361","490790","341963190"
"0.127","0.686","93.699","0.372","33852949","365297","326733164"
"0.435","0.688","103.239","0.435","63223118","463315","266426563"
"0.607","0.386","147.207","0.532","56888766","460662","486111943"
"0.715","0.49","130.726","0.866","28799448","275921","334903879"
"0.338","0.396","133.522","0.377","96849734","675186","233382117"
"0.939","0.671","129.024","0.53","1007596168","4265538","777641580"
"0.963","0.581","129.992","0.788","1405539965","5671596","1120973873"
"0.802","0.721","124.022","0.724","253293371","1423079","981156901"
"0.758","0.673","135.956","0.542","704875181","2999847","481224452"
"0.855","0.67","120.05","0.648","866480662","2961540","347393726"
"0.933","0.761","122.959","0.836","307624507","1576522","424022714"
"0.935","0.592","125.013","0.567","894756316","4925915","222056078"
"0.631","0.85","126.002","0.738","313590021","1533812","374912951"
"0.912","0.595","128.024","0.762","300032949","1078390","193172998"
"0.677","0.898","130.027","0.578","52214351","688783","52166142"
"0.882","0.742","102.04","0.463","1120854023","7147862","851711837"
"0.6","0.951","125.04","0.822","361314925","2124819","590578908"
"0.764","0.801","89.999","0.578","165860569","2514731","122450231"
"0.824","0.741","100.216","0.725","208573237","1324227","381155556"
"0.776","0.718","120.015","0.622","505918510","2235710","266413452"
"0.674","0.855","95.991","0.578","306887054","1317175","49412471"
"0.761","0.711","95.824","0.718","306887054","1317175","51339097"
"0.666","0.765","87.002","0.757","314611933","2018040","176824685"
"0.712","0.812","98.029","0.85","81787112","668740","47517159"
"0.588","0.828","94.052","0.598","256405663","1928933","336056798"
"0.293","0.396","100.307","0.343","363854960","3486602","642724292"
"0.27","0.465","94.518","0.58","46348788","209579","293604060"
"0.236","0.575","79.576","0.829","282465","4533","115786722"
"0.382","0.487","116.557","0.714","7484414","84407","355940570"
"0.748","0.66","143.549","0.972","3649438","17369","217996516"
"0.387","0.358","181.183","0.495","12982178","152547","126445901"
"0.715","0.325","93.914","0.282","43935538","374007","19601041"
"0.537","0.623","166.885","0.905","242588704","1868278","362889100"
"0.266","0.404","88.916","0.491","8647838","0","138978979"
"0.733","0.481","122.903","0.874","14332854","370274","107417556"
"0.844","0.916","95.19","0.586","585712131","4363164","375955728"
"0.91","0.801","87.277","0.805","89682","1301","578493150"
"0.85","0.763","91.519","0.761","84654029","484619","497213287"
"0.723","0.872","93.279","0.843","14035099","64269","428728611"
"0.63","0.874","95","0.717","1276815","24831","213745248"
"0.665","0.865","111.113","0.331","306542","4350","411056377"
"0.54","0.773","84.115","0.322","381061439","3225481","243928109"
"0.732","0.598","172.329","0.595","5434057","58781","211103197"
"0.904","0.849","99.258","0.854","18949722","251281","178709066"
"0.852","0.795","95.44","0.673","1002891","13416","117899041"
"0.861","0.762","120.048","0.955","48725891","2843117","172373567"
"0.652","0.553","94.505","0.551","726601997","5635352","1138123751"
"0.632","0.888","91.979","0.662","242845147","1854617","466458137"
"0.732","0.723","104.991","0.503","14272788","175218","248359900"
"0.768","0.718","164.038","0.591","70515275","2308329","46192225"
"0.732","0.813","130.02","0.731","237582702","1010443","222949118"
"0.695","0.907","101.007","0.961","202432469","1231331","202521145"
"0.48","0.861","99.972","0.278","31364","373","82111629"
"0.531","0.755","177.951","0.683","84170696","1245805","124225906"
"0.786","0.878","101.984","0.831","30994885","369883","0"
"0.634","0.669","124.906","0.496","475532733","2941752","433564491"
"0.786","0.502","169.021","0.739","788318126","6142541","1004661276"
"0.622","0.328","74.267","0.401","764982505","4833883","417139141"
"0.906","0.457","104.02","0.54","351589402","2019702","461843097"
"0.752","0.364","79.119","0.606","180051134","1119672","404959319"
